id,topic,difficulty,question,option_a,option_b,option_c,option_d,answer,explanation
7573,SQL,hard,What are window functions in SQL used for?,Row-by-row operations over partitions,Joining tables faster,Creating stored procedures,Generating random data,a,"Window functions operate over partitions of rows and return a value for each row, e.g., RANK(), LEAD(), LAG()."
7574,Data Structures,medium,Which traversal of a BST prints nodes in descending order?,Inorder (L-R),Inorder (R-L),Preorder,Postorder,b,"In descending order, we perform reverse inorder (right-root-left)."
7575,Python,hard,How does Python's Garbage Collector primarily work?,Using a reference counting mechanism,Using a mark-and-sweep algorithm,Using a combination of reference counting and a cycle detector,Using a stop-and-copy algorithm,c,"Python primarily uses a reference counting system, but to deal with reference cycles (where objects refer to each other and their reference counts never drop to zero), it also employs a separate garbage collector that finds and collects these cycles."
7576,Logic Design,medium,How many flip-flops needed for 16 states?,2,3,4,8,c,"2^4 = 16 states, so 4 flip-flops are required."
7577,Web Development,medium,What is the box model in CSS?,A model for creating 3D boxes,A conceptual model of how elements are rendered on a web page,A model for creating flexible layouts,A model for aligning text,b,"The CSS box model describes how the browser renders elements. It consists of the content, padding, border, and margin, which combine to determine the final size and spacing of an element."
7578,Operating Systems,medium,Which scheduling algorithm prevents starvation by aging?,Round Robin,SJF,Priority Scheduling with aging,FIFO,c,Priority scheduling with aging avoids starvation of low priority processes.
7579,Algorithms,hard,"What is a ""Turing machine"" in the context of algorithms?",A physical computer,A theoretical model of computation,A type of sorting algorithm,A type of data structure,b,A Turing machine is a mathematical model of computation that defines an abstract machine that manipulates symbols on a strip of tape according to a table of rules. It is a theoretical foundation for what can be computed by an algorithm.
7580,Logic Design,medium,What is the primary function of a Full Adder circuit?,To add two single-bit numbers,To add three single-bit numbers,To subtract two single-bit numbers,To multiply two single-bit numbers,b,A Full Adder is a combinational logic circuit that performs the addition of three input bits (two operand bits and a carry-in bit) and produces a sum and a carry-out bit.
7581,Data Structures,easy,What is the time complexity of accessing an element in an array by index?,O(1),O(log n),O(n),O(n log n),a,"Accessing by index is a direct operation, hence O(1)."
7582,Data Science,hard,"What is ""p-value"" in hypothesis testing?",Probability of null hypothesis being true,Significance test result,Probability of observing results under null,Error rate,c,The p-value represents the probability of observing data given that null hypothesis is true.
7583,Data Structures,hard,What is a self-balancing binary search tree?,A tree where no node has more than one child,A tree where the height difference between the left and right subtrees of any node is at most 1,A tree where all leaves are at the same level,A tree that automatically sorts its elements,b,"A self-balancing binary search tree (like AVL or Red-Black trees) is a type of BST that automatically keeps its height as small as possible by performing rotations, ensuring that the height difference of subtrees is maintained to ensure O(log n) search time."
7584,Python,hard,How does Python's Garbage Collector primarily work?,Using a reference counting mechanism,Using a mark-and-sweep algorithm,Using a combination of reference counting and a cycle detector,Using a stop-and-copy algorithm,c,"Python primarily uses a reference counting system, but to deal with reference cycles (where objects refer to each other and their reference counts never drop to zero), it also employs a separate garbage collector that finds and collects these cycles."
7585,Software Engineering,hard,What is the difference between black-box testing and white-box testing?,Black-box tests the internal workings; white-box tests the external behavior,Black-box tests a program without knowing the internal code; white-box tests the internal code,Black-box is for manual testing; white-box is for automated testing,Black-box is for security testing; white-box is for performance testing,b,"In black-box testing, the tester has no knowledge of the internal code or structure. In white-box testing, the tester has full knowledge of the internal workings and can design tests based on the code's logic and structure."
7586,Operating Systems,easy,Which scheduling algorithm executes processes in arrival order?,Priority,Round Robin,FIFO,SJF,c,First-In-First-Out processes based on order of arrival.
7587,Computer Networks,hard,What is the maximum length of an IPv6 address in bits?,32,64,128,256,c,"An IPv6 address is 128 bits long, much larger than IPv4â€™s 32-bit."
7588,Cybersecurity,easy,What is the purpose of a firewall?,To block all internet traffic to a network,To monitor and control incoming and outgoing network traffic,To manage user passwords,To protect against physical theft of a computer,b,A firewall is a network security system that monitors and controls network traffic based on a set of security rules. It acts as a barrier between a trusted internal network and untrusted external networks.
7589,Computer Networks,medium,What is a MAC address?,A logical address for a device,A physical address that is unique to a network interface card (NIC),A temporary address assigned by DHCP,The address of a router,b,"A MAC (Media Access Control) address is a unique, physical address assigned to a network interface card (NIC) for communication within a network segment. It is a permanent address embedded by the manufacturer."
7590,Logic Design,hard,What is the function of a D flip-flop?,Delays signal,Stores one bit,Performs addition,Acts as inverter,b,D flip-flop stores one bit and outputs it aligned with clock signal.
7591,Operating Systems,easy,Which OS concept creates illusion of infinite memory?,Paging,Virtual Memory,Swapping,Scheduling,b,Virtual memory provides abstraction of infinite memory using disk as extension.
7592,Software Engineering,medium,What is a 'code smell'?,A bug that is difficult to fix,A symptom in the source code that suggests a deeper problem,A piece of code that is not optimized,A programming language that is no longer used,b,"A 'code smell' is a superficial symptom that suggests there may be a deeper problem within the code's design. It's not a bug, but it indicates the need for refactoring."
7593,Data Structures,medium,What is the purpose of a 'doubly linked list'?,To store elements in contiguous memory,To allow traversal in both forward and backward directions,To have a faster search time,To reduce memory usage,b,"A doubly linked list is a list where each node contains a pointer to the next node and a pointer to the previous node. This allows for traversal in both directions, unlike a singly linked list."
7594,Cloud Computing,hard,What is the main role of an API Gateway in microservices architecture?,To compile cloud applications,To authenticate and route client requests to services,To store databases,To run Docker containers,b,"API Gateways act as an entry point, handling authentication, routing, throttling, and monitoring in microservices architecture."
7595,Data Structures,hard,Which sorting algorithm has a worst-case time complexity of O(n^2) but is generally faster on small arrays and nearly sorted data?,Quick Sort,Merge Sort,Insertion Sort,Bubble Sort,c,"Insertion Sort has a worst-case time complexity of O(n^2), but it is very efficient on small datasets or when the data is nearly sorted because it performs fewer comparisons and swaps."
7596,SQL,hard,What is the purpose of `ACID` properties in a database transaction?,To ensure security and user authentication,To ensure that transactions are processed reliably,To optimize query performance,To manage the data schema,b,"ACID stands for Atomicity, Consistency, Isolation, and Durability. These are a set of properties that guarantee that database transactions are processed reliably, even in the event of failures or errors."
7597,Computer Networks,hard,What is the purpose of NAT (Network Address Translation)?,To translate network layer addresses to the data link layer,To allow multiple devices to share a single public IP address,To convert IP addresses to domain names,To provide network security,b,NAT is a method of remapping one IP address space into another by modifying network address information in the IP header of packets. It is commonly used to allow multiple devices on a private network to share a single public IP address.
7598,Computer Networks,easy,Which device connects multiple LANs?,Hub,Switch,Router,Repeater,c,Routers connect LANs and forward packets using IP addresses.
7599,Machine Learning,hard,What is a Generative Adversarial Network (GAN)?,A neural network used for regression tasks,A network that combines a generative model and a discriminative model,A network used for image classification,A type of recurrent neural network,b,"A GAN consists of two neural networks: a generator that creates new data (e.g., images) and a discriminator that evaluates the data. They are trained in a zero-sum game, where the generator tries to fool the discriminator, and the discriminator tries to correctly identify fake data."
7600,Python,hard,How does Python's Garbage Collector primarily work?,Using a reference counting mechanism,Using a mark-and-sweep algorithm,Using a combination of reference counting and a cycle detector,Using a stop-and-copy algorithm,c,"Python primarily uses a reference counting system, but to deal with reference cycles (where objects refer to each other and their reference counts never drop to zero), it also employs a separate garbage collector that finds and collects these cycles."
7601,SQL,hard,What is the purpose of the `HAVING` clause?,To filter rows before a `GROUP BY` clause,To filter the result of a `GROUP BY` clause,To filter based on non-aggregate data,To filter based on a single condition,b,"The `HAVING` clause is used to filter the result set after a `GROUP BY` clause has been applied. It is used to filter based on aggregate function results, which the `WHERE` clause cannot do."
7602,Computer Networks,hard,Which protocol works at the Transport Layer of OSI and is connectionless?,TCP,UDP,IP,DNS,b,"UDP is a transport layer, connectionless protocol with minimal overhead and no guarantee of delivery."
7603,Operating Systems,hard,Which memory scheme can cause internal fragmentation?,Fixed partitions,Segmentation,Dynamic allocation,Paging,a,Fixed partitions waste space inside allocation.
7604,Networking,hard,What is the purpose of the `ARP` protocol?,To find the MAC address of a device given its IP address,To find the IP address of a device given its MAC address,To find a device's domain name,To find the gateway address,a,ARP (Address Resolution Protocol) is a protocol used to map an IP address to a physical MAC address within a local network.
7605,Cybersecurity,easy,"What is a ""zero-day"" vulnerability?",A vulnerability that has been known for years,A vulnerability that has a severity score of zero,A newly discovered vulnerability that hackers can exploit before a patch is available,A vulnerability that can only be exploited on the first day of the month,c,"A zero-day vulnerability is a software flaw that is not yet known to the vendor or the public. It can be exploited by hackers on the 'zero day' of its public discovery, before a fix is available."
7606,Cloud Computing,medium,What is a microservices architecture?,A system where a single application is broken down into small, independent services,A system with a single large codebase,A system that uses a single monolithic database,a type of front-end framework,A
7607,Computer Networks,medium,What is a firewall?,A device that blocks all network traffic,A software program that prevents viruses,A security system that monitors and controls network traffic,A protocol for secure data transmission,c,A firewall is a network security system that monitors and controls incoming and outgoing network traffic based on a set of predefined security rules. It is a first line of defense against unauthorized access.
7608,Data Structures,hard,What is the time complexity of AVL insertion?,O(1),O(log n),O(n),O(n^2),b,AVL insertions take O(log n) due to balancing rotations.
7609,Cloud Computing,hard,What is Faas (Function-as-a-Service)?,Manages apps only,Run functions serverlessly,Provides virtual machines,Stores big data,b,FaaS means running small functions in serverless environment.
7610,DSA,medium,What is the time complexity of finding the maximum element in an unsorted array?,O(1),O(n),O(log n),O(n^2),b,"To find the maximum element in an unsorted array, you have to iterate through every element at least once to compare it with the current maximum, resulting in a linear time complexity of O(n)."
7611,Cloud Computing,hard,Which concept eliminates server management?,IaaS,PaaS,Serverless,FaaS,c,Serverless abstracts server management and runs code events.
7612,Database Management,medium,What is `ACID` compliance in the context of database transactions?,Atomicity, Consistency, Isolation, Durability,accuracy, Caching
7613,Operating Systems,medium,What is the difference between a process and a thread?,A process is a part of a thread,A thread is an independent program,A process is a program in execution,A process is a single-threaded program,c,"A process is an instance of a program being executed, while a thread is a lightweight process that can run within a process. Multiple threads can exist within a single process and share its resources."
7614,Web Development,medium,What is 'event bubbling' in JavaScript?,When an event listener is called multiple times,When an event propagates from a child element up to its parent elements,When an event is captured by the parent element before the child,When an event is cancelled by the browser,b,"Event bubbling is a mechanism where an event that occurs on a child element first is then propagated up through the DOM tree, triggering event listeners on its parent, grandparent, and so on, up to the document root."
7615,Operating Systems,easy,What is the kernel?,Outer shell of OS,Core component managing resources,A compiler,System library,b,"The kernel is the core OS managing CPU, I/O and memory."
7616,Algorithms,medium,Which algorithm is commonly used for finding strongly connected components (SCCs)?,Dijkstra,Prim,Kosaraju,Greedy,c,Kosarajuâ€™s algorithm is specifically used to find SCCs in a directed graph.
7617,Algorithms,medium,Which algorithm is used for all-pairs shortest paths?,Dijkstra,Bellman-Ford,Floyd-Warshall,Prim,c,Floyd-Warshall finds shortest paths between all pairs of vertices.
7618,Software Testing,hard,Mutation testing checks what?,Code efficiency,Quality of test suite,Memory leaks,UI bugs,b,Mutation testing measures if tests detect introduced errors.
7619,Database Management,easy,Which SQL clause is used to limit output rows?,WHERE,LIMIT,OFFSET,TOP,b,The LIMIT clause restricts the number of rows returned in query results.
7620,Cybersecurity,hard,Which cryptographic algorithm is considered quantum-resistant?,RSA,AES,Elliptic Curve,Hash-based cryptography,d,"Post-quantum cryptography considers hash-based algorithms resistant to quantum attacks, unlike RSA or ECC."
7621,Software Engineering,medium,Which testing ensures modules work together?,Unit Testing,System Testing,Integration Testing,Regression Testing,c,Integration testing verifies module interaction correctness.
7622,Networking,easy,What does the acronym DNS stand for?,Data Network System,Domain Name System,Dynamic Network Service,Digital Naming Service,b,"DNS stands for Domain Name System. It is the internet's phonebook, translating human-readable domain names into IP addresses."
7623,SQL,hard,What is a 'deadlock' in a database?,A state where a transaction cannot be rolled back,A state where two or more transactions are blocked forever, waiting for each other to release resources,A state where the database server has crashed,a state where a query has timed out,B
7624,Machine Learning,medium,What is the difference between classification and regression?,Classification predicts a continuous value; Regression predicts a discrete label,Classification predicts a discrete label; Regression predicts a continuous value,They are the same thing,Regression is an unsupervised task,b,"Classification models predict a discrete or categorical outcome (e.g., Spam"" or ""Not Spam""). Regression models predict a continuous or numerical outcome (e.g."
7625,Logic Design,easy,Which gate is universal?,XOR,OR,NOR,NAND,d,NAND gate can build all logic circuits.
7626,Web Development,hard,What is the role of a Service Worker in web development?,To manage cookies and sessions,To provide a user interface for web apps,To handle push notifications and offline caching,To manage the server-side logic of a web app,c,"A Service Worker is a JavaScript file that runs in the background of a web page. It acts as a proxy between the browser and the network, enabling offline functionality, caching assets, and handling push notifications."
7627,DSA,medium,What is the primary purpose of a 'Heap' data structure?,To find the sum of all elements,To maintain a sorted list of elements,To efficiently find the minimum or maximum element,To reverse a list of elements,c,"A heap is a specialized tree-based data structure that satisfies the heap property. In a min-heap, the root node is the smallest element, and in a max-heap, it is the largest, allowing for O(1) access to the min/max element."
7628,Computer Networks,easy,Which protocol is responsible for assigning IP addresses automatically?,DNS,DHCP,FTP,HTTP,b,DHCP (Dynamic Host Configuration Protocol) automatically assigns IP addresses and network configuration to devices.
7629,Computer Networks,hard,Which routing algorithm does OSPF use?,Distance Vector,Link State,Flooding,Path-Vector,b,OSPF is a link-state protocol that uses Dijkstra algorithm internally.
7630,Machine Learning,easy,Which ML task involves predicting continuous values?,Classification,Regression,Clustering,Dimensionality reduction,b,"Regression predicts continuous values like salary, temperature, etc."
7631,Python,hard,How does Python's Garbage Collector primarily work?,Using a reference counting mechanism,Using a mark-and-sweep algorithm,Using a combination of reference counting and a cycle detector,Using a stop-and-copy algorithm,c,"Python primarily uses a reference counting system, but to deal with reference cycles (where objects refer to each other and their reference counts never drop to zero), it also employs a separate garbage collector that finds and collects these cycles."
7632,Computer Networks,easy,What does the acronym DNS stand for?,Data Network System,Domain Name System,Dynamic Network Service,Digital Naming Service,b,"DNS stands for Domain Name System. It is the internet's phonebook, translating human-readable domain names into IP addresses."
7633,Computer Networks,hard,Which routing algorithm does OSPF use?,Distance Vector,Link State,Flooding,Path-Vector,b,OSPF is a link-state protocol that uses Dijkstra algorithm internally.
7634,Cybersecurity,medium,"What is a ""brute-force"" attack?",An attack that uses a user's personal information to guess a password,An attack that repeatedly tries different passwords or keys until it finds the correct one,An attack that tricks a user into downloading malware,An attack that targets a specific application,b,A brute-force attack is a trial-and-error method used to guess a password or login information. The attacker systematically tries all possible combinations of characters until the correct one is found.
7635,Computer Networks,easy,Which protocol is used for sending emails?,HTTP,SMTP,IMAP,FTP,b,SMTP is the standard protocol for sending emails.
7636,Cybersecurity,hard,"What is the purpose of a ""Honeypot"" in cybersecurity?",A tool used to defend against malware,A server or system designed to attract and trap hackers,A type of network protocol,A method for encrypting data,b,"A honeypot is a decoy computer system or network designed to attract hackers and cyber attackers. It's a way to study their techniques, gather intelligence, and divert them away from the real network assets."
7637,Software Engineering,hard,What is 'technical debt'?,Money owed to a software vendor,The cost of developing new features,The future cost of additional work incurred by choosing an easy but limited solution now instead of a better but more difficult one,The cost of software maintenance,c,"Technical debt is a concept in software development that reflects the implied cost of additional rework caused by choosing a less-than-ideal solution or shortcut instead of a better, more robust approach. It's like taking a loan out on future development time."
7638,Cybersecurity,hard,What is perfect forward secrecy (PFS) in cryptography?,A way to compress encrypted data,A property ensuring session keys cannot be compromised even if private key is disclosed,A fast encryption method,A keyless encryption design,b,PFS ensures past sessions remain secure even if the serverâ€™s private key is compromised in the future.
7639,Artificial Intelligence,hard,What type of AI is ChatGPT considered?,Strong AI,General AI,Narrow AI,Super AI,c,"ChatGPT is an example of Narrow AI, as it is specialized in natural language processing."
7640,Data Structures,medium,What is the maximum number of children a node can have in a binary tree?,1,2,3,Unlimited,b,"By definition, a binary tree node has at most 2 children."
7641,SQL,hard,Which normal form removes transitive dependency?,1NF,2NF,3NF,BCNF,c,Third Normal Form (3NF) removes transitive dependencies between non-prime attributes.
7642,Cybersecurity,medium,"What is a ""brute-force"" attack?",An attack that uses a user's personal information to guess a password,An attack that repeatedly tries different passwords or keys until it finds the correct one,An attack that tricks a user into downloading malware,An attack that targets a specific application,b,A brute-force attack is a trial-and-error method used to guess a password or login information. The attacker systematically tries all possible combinations of characters until the correct one is found.
7643,Web Development,medium,What is the purpose of the `viewport` meta tag in HTML?,To set the initial zoom level for the webpage on a mobile device,To define the dimensions of the entire webpage,To create an image gallery,To link to a video file,a,The viewport meta tag is used to control the layout and scaling of a webpage on mobile devices. It's a key component of responsive web design.
7644,Algorithms,hard,"What is a ""Turing machine"" in the context of algorithms?",A physical computer,A theoretical model of computation,A type of sorting algorithm,A type of data structure,b,A Turing machine is a mathematical model of computation that defines an abstract machine that manipulates symbols on a strip of tape according to a table of rules. It is a theoretical foundation for what can be computed by an algorithm.
7645,Python,hard,What is the purpose of the `__call__` method?,To make an object callable like a function,To call a superclass method,To define a custom string representation,To perform a deep copy of an object,a,"The `__call__` method allows an instance of a class to be called as a function. This makes objects callable, which can be useful for creating custom function-like objects."
7646,Data Structures,medium,What is a Red-Black tree?,A binary search tree where all nodes are either red or black,A data structure that is always balanced,A data structure for storing colors,A type of graph,a,"A Red-Black tree is a type of self-balancing binary search tree. Each node is colored either red or black, and the tree adheres to specific properties that ensure its height remains logarithmic, making operations like search and insertion efficient."
7647,Operating Systems,medium,What is the main purpose of paging in memory management?,To increase CPU speed,To divide memory into equal fixed-size blocks,To reduce disk access,To optimize CPU cache,b,"Paging divides memory into equal fixed-size pages, simplifying memory allocation while avoiding external fragmentation."
7648,Software Engineering,medium,Which is a creational design pattern?,Factory,Observer,Command,Decorator,a,Factory is creational pattern.
7649,Python,hard,What is a metaclass primarily used for in Python?,Defining variables,Controlling class creation,Optimizing functions,Enhancing garbage collection,b,"Metaclasses define how classes behave. A class is an instance of a metaclass, allowing customization of class creation."
7650,Data Structures,easy,Which structure follows LIFO order?,Queue,Graph,Stack,Tree,c,Stack follows Last-In-First-Out ordering.
7651,DSA,easy,"Which data structure is best for implementing an ""Undo"" feature in a text editor?",Queue,Stack,Array,Linked List,b,"A stack is a perfect fit for an Undo"" feature because it operates on a Last-In"
7652,Machine Learning,medium,What does ROC curve evaluate?,Clustering efficiency,Classification performance,Regression accuracy,Feature importance,b,ROC curve plots True Positive Rate vs False Positive Rate.
7653,Cybersecurity,easy,What is ransomware?,Encrypting files and demanding ransom,Password testing,Firewall tool,Good antivirus,a,Ransomware encrypts user files and demands payment to unlock them.
7654,Database Management,hard,What is the 'ACID' property of a database transaction?,Atomicity, Consistency, Integrity, Durability,atomicity, Consistency
7655,Data Science,medium,What is the purpose of cross-validation?,Faster computation,Reducing overfitting,Finding missing values,Dimensionality reduction,b,Cross-validation prevents overfitting by testing a model on unseen folds of data.
7656,Operating Systems,hard,Which strategy avoids deadlock by allocating resources only if state remains safe?,Mutual exclusion,Banker's Algorithm,SJF,LRU,b,Banker's Algorithm avoids deadlocks by checking for a safe state before allocation.
7657,Database Management,hard,What is the difference between a `UNIQUE` constraint and a `PRIMARY KEY`?,A `PRIMARY KEY` can have NULL values, while a `UNIQUE` constraint cannot,A `PRIMARY KEY` is a clustered index by default, while a `UNIQUE` constraint is a non-clustered index by default,a `primary key` can be applied to multiple columns, while a `UNIQUE` constraint cannot
7658,DSA,medium,What is the difference between DFS (Depth-First Search) and BFS (Breadth-First Search)?,DFS uses a queue; BFS uses a stack,DFS explores all neighbors at the current level before moving to the next level; BFS goes as deep as possible first,DFS uses a stack; BFS uses a queue,They are the same algorithm with different names,c,DFS typically uses a stack to explore a path as deeply as possible before backtracking. BFS typically uses a queue to explore all neighbors at the current level before moving to the next level.
7659,Data Structures,hard,What is the purpose of an adjacency matrix in a graph?,To list all vertices and edges,To store the cost of traversing an edge,To represent the connections between vertices,To find the shortest path between two vertices,c,"An adjacency matrix is a 2D array used to represent a graph. A value of 1 or more in `matrix[i][j]` indicates an edge between vertex i"" and vertex ""j"""
7660,Data Structures,medium,What is a sparse matrix?,Matrix with mostly non-zero values,Matrix with mostly zero values,Always square matrix,Matrix stored in arrays,b,A sparse matrix stores mostly zeros efficiently.
7661,Computer Networks,easy,Which protocol is used for sending emails?,HTTP,SMTP,IMAP,FTP,b,SMTP is the standard protocol for sending emails.
7662,Web Development,hard,What is the role of a Service Worker in web development?,To manage cookies and sessions,To provide a user interface for web apps,To handle push notifications and offline caching,To manage the server-side logic of a web app,c,"A Service Worker is a JavaScript file that runs in the background of a web page. It acts as a proxy between the browser and the network, enabling offline functionality, caching assets, and handling push notifications."
7663,Cybersecurity,hard,What is the main purpose of a nonce in cryptography?,To store user credentials,To detect data integrity,To ensure uniqueness in encryption operations,To compress data,c,A nonce is a random/unique number used once to prevent replay attacks and ensure encryption freshness.
7664,Python,hard,Which method is used for context managers?,__str__,__main__,__enter__ and __exit__,__iter__,c,Context managers require __enter__ and __exit__.
7665,Python,hard,Which method is used to create an iterator class?,__iter__,__next__,both __iter__ and __next__,__call__,c,An iterator must implement `__iter__` and `__next__`.
7666,Cybersecurity,easy,What does the acronym DDoS stand for?,Data Destruction on Demand System,Direct Denial of Service,Distributed Denial of Service,Dynamic Defense of Systems,c,DDoS stands for Distributed Denial of Service. It's an attack where multiple compromised computer systems flood a target's network with traffic to make the service unavailable to legitimate users.
7667,Artificial Intelligence,medium,What problem does alpha-beta pruning solve?,Shortens path,Reduces nodes evaluated,Increases memory,Quicker I/O,b,Alpha-beta pruning reduces number of nodes evaluated in minimax.
7668,Cybersecurity,hard,What is principle of non-repudiation?,Data cannot be denied,Data confidentiality,Integrity,High availability,a,Non-repudiation ensures senders cannot deny actions.
7669,Cybersecurity,hard,What is principle of non-repudiation?,Data cannot be denied,Data confidentiality,Integrity,High availability,a,Non-repudiation ensures senders cannot deny actions.
7670,Operating Systems,easy,What is the kernel?,Outer shell of OS,Core component managing resources,A compiler,System library,b,"The kernel is the core OS managing CPU, I/O and memory."
7671,Artificial Intelligence,easy,What does BFS stand for?,Binary Fast Search,Best First Search,Breadth First Search,Branch Fast Search,c,BFS is Breadth First Search algorithm.
7672,Algorithms,hard,What is the time complexity of finding an element in a balanced AVL tree?,O(1),O(n),O(log n),O(n log n),c,"An AVL tree is a self-balancing binary search tree. Its balancing property guarantees that the height of the tree remains logarithmic, ensuring that search, insertion, and deletion operations have a time complexity of O(log n) in all cases."
7673,Networking,hard,What is 'port forwarding'?,Blocking a specific network port,Redirecting communication from one IP address and port to another,Sharing a printer over a network,Encrypting network traffic,b,Port forwarding is a network address translation (NAT) technique that redirects communication from an external IP address and port to a specific internal IP address and port on a private network.
7674,SQL,medium,What is the purpose of an index in a database?,To define data types for columns,To prevent duplicate data,To speed up data retrieval,To enforce data integrity,c,"An index is a data structure that improves the speed of data retrieval operations on a database table. It works like an index in a book, providing a quick way to look up data without scanning the entire table."
7675,Algorithms,medium,What is the time complexity of the Quick Sort algorithm in the average case?,O(n),O(n^2),O(log n),O(n log n),d,"The average case time complexity of Quick Sort is O(n log n), making it one of the most efficient sorting algorithms in practice. However, its worst-case is O(n^2)."
7676,SQL,medium,Which keyword is used to sort the result-set in ascending order?,SORT BY,ORDER BY,SORT ASC,ORDER ASC,b,The ORDER BY clause is used to sort the result-set by a specified column. The default sort order is ascending (ASC).
7677,Cybersecurity,easy,What does SSL stand for?,Secure Socket Layer,Secure System Login,Safe Service Load,Server Socket Layer,a,SSL (Secure Socket Layer) encrypts connections over networks.
7678,Cybersecurity,medium,"What is a ""brute-force"" attack?",An attack that uses a user's personal information to guess a password,An attack that repeatedly tries different passwords or keys until it finds the correct one,An attack that tricks a user into downloading malware,An attack that targets a specific application,b,A brute-force attack is a trial-and-error method used to guess a password or login information. The attacker systematically tries all possible combinations of characters until the correct one is found.
7679,Networking,medium,What is the purpose of the subnet mask?,To hide a computer's IP address,To determine which part of an IP address identifies the network and which part identifies the host,To prevent unauthorized access to a network,To encrypt data packets,b,"A subnet mask is a 32-bit number that distinguishes the network address from the host address within an IP address, telling a router which part of the address is for the local network."
7680,Python,easy,Which method is used to add an element at the end of a list?,insert(),append(),extend(),add(),b,The append() method adds a single element to the end of a list.
7681,Software Testing,medium,Which testing checks system load?,Smoke Test,Stress Testing,Regression,Unit Testing,b,Stress testing checks reliability at high load.
7682,Cybersecurity,medium,Which attack involves flooding system with requests?,SQL Injection,Ransomware,DDoS,XSS,c,Distributed Denial of Service overwhelms systems with traffic.
7683,Deep Learning,easy,Which activation prevents negative outputs?,ReLU,Sigmoid,Tanh,Softmax,a,"ReLU outputs values >=0, eliminating negatives."
7684,Computer Networks,medium,What is the default port number of HTTPS?,21,25,80,443,d,HTTPS uses port 443 by default for secure HTTP communication over SSL/TLS.
7685,Python,medium,"What is a ""lambda"" function?",A function without a name,A function that takes a list as input,A function that returns a boolean,A function that modifies its arguments,a,"A lambda function is a small, anonymous (nameless) function that can take any number of arguments, but can only have one expression."
7686,Python,hard,How does Python's Garbage Collector primarily work?,Using a reference counting mechanism,Using a mark-and-sweep algorithm,Using a combination of reference counting and a cycle detector,Using a stop-and-copy algorithm,c,"Python primarily uses a reference counting system, but to deal with reference cycles (where objects refer to each other and their reference counts never drop to zero), it also employs a separate garbage collector that finds and collects these cycles."
7687,Python,hard,What is the purpose of the `*args` and `**kwargs` syntax in function definitions?,To pass a list and a dictionary as arguments,To pass an arbitrary number of positional and keyword arguments,To unpack a list and a dictionary,To force a function to use keyword arguments,b,"The `*args` syntax allows a function to accept an arbitrary number of positional arguments as a tuple, while `**kwargs` allows it to accept an arbitrary number of keyword arguments as a dictionary."
7688,Cybersecurity,medium,What is ransomware?,A type of firewall,A form of virus stealing credentials,Malware encrypting files until ransom is paid,Phishing attack,c,Ransomware encrypts victimâ€™s files and demands payment to restore access.
7689,Machine Learning,easy,Which technique reduces overfitting?,Dropout,Gradient Descent,Normalization,RBF,a,Dropout disables neurons randomly.
7690,Data Structures,medium,What is the difference between a min-heap and max-heap?,Min-heap stores smaller values at bottom,Max-heap is always balanced,Min-heap root is smallest, Max-heap root is largest,heap has no root,C
7691,Python,medium,What is the output of `sorted([3,1,2])`?,[3,2,1],[1
7692,Deep Learning,hard,Which architecture introduced self-attention?,CNN,RNN,Transformer,SVM,c,Transformers introduced self-attention mechanisms for NLP/vision tasks.
7693,Cybersecurity,hard,Which cryptographic algorithm is considered quantum-resistant?,RSA,AES,Elliptic Curve,Hash-based cryptography,d,"Post-quantum cryptography considers hash-based algorithms resistant to quantum attacks, unlike RSA or ECC."
7694,Web Development,hard,What is 'hoisting' in JavaScript?,The ability to move a variable declaration to the top of its scope,The process of linking a stylesheet,The process of compiling a script,The ability to call a function before it is defined,a,"Hoisting is JavaScript's default behavior of moving declarations (but not initializations) to the top of the current scope, so variables and functions can be used before they are declared."
7695,Cybersecurity,hard,"What is ""cryptographic salt""?",A type of encryption algorithm,Random data used as an additional input to a one-way function that hashes a password,A key used to decrypt data,A type of attack on a cryptosystem,b,"Cryptographic salt is a piece of random data used to modify a password hash. It is added to the password before hashing to prevent a common attack called a rainbow table"" attack and makes it harder to crack passwords with pre-computed tables."""
7696,Algorithms,easy,What is a common use case for a Breadth-First Search (BFS)?,Finding the shortest path in an unweighted graph,Finding a path to a specific leaf node,Sorting an array,Checking for cycles in a directed graph,a,BFS is guaranteed to find the shortest path in an unweighted graph because it explores all nodes at the current level before moving to the next level.
7697,Computer Networks,easy,Which protocol translates IP addresses to MAC addresses?,DNS,ARP,HTTP,TCP,b,ARP resolves IP addresses into physical MAC addresses.
7698,Algorithms,medium,Which traversal technique of a binary tree uses a queue?,Inorder,Preorder,Postorder,Level Order,d,Level order traversal uses a queue (BFS).
7699,Data Structures,easy,Which data structure is used to check for balanced parentheses?,Queue,Stack,Heap,Array,b,Stack is used for parentheses checking.
7700,Software Engineering,medium,Which model uses V-shape for verification and validation?,Agile,Scrum,V-Model,Spiral,c,V-model emphasizes testing at each development stage.
7701,Machine Learning,hard,What is vanishing gradient issue common in?,Trees,CNNs,RNNs,Graph theory,c,RNNs suffer from vanishing gradients due to long-term dependencies.
7702,Python,hard,What is the purpose of the `yield` keyword in a function?,To return a value and terminate the function,To return a value and save the function's state,To raise an error,To define a class method,b,"The `yield` keyword is used to create a generator. It returns a value to the caller and pauses the function's execution, saving its state for the next call. The function can then resume from where it left off."
